elementi,selection,bubble,default
1000,0.06200361251831055,0.13400769233703613,0.0
2000,0.43102455139160156,0.6620378494262695,0.0
5000,1.6500942707061768,2.5351450443267822,0.0009999275207519531
10000,6.0443456172943115,9.605549573898315,0.0009999275207519531
